,brand,product,price,url
0,다이아몬드 레이라,플러프 무드 체크 셔츠 S24 네이비,"
68,000원 51,000원
                            ",https://store.musinsa.com/app/goods/859956
1,테이크이지,솔리드 옥스포드 오버셔츠(스카이블루),"
67,000원 53,600원
                            ",https://store.musinsa.com/app/goods/1336398
2,무신사 스탠다드,베이식 옥스포드 셔츠 [화이트],"
                                 24,900원
                            ",https://store.musinsa.com/app/goods/728000
3,쟈니웨스트,Wooltan Check Shirts (Cream),"
34,000원 32,300원
                            ",https://store.musinsa.com/app/goods/890749
4,다이아몬드 레이라,빈티지 블랙 도트 스트라이프 셔츠 S22,"
65,000원 51,000원
                            ",https://store.musinsa.com/app/goods/826451
5,테이크이지,솔리드 옥스포드 오버셔츠(화이트),"
67,000원 53,600원
                            ",https://store.musinsa.com/app/goods/1336290
6,무신사 스탠다드,릴렉스 핏 옥스포드 셔츠 [화이트],"
                                 24,900원
                            ",https://store.musinsa.com/app/goods/854337
7,아노블리어,루즈핏 오픈카라 텐셀 린넨 셔츠 [네이비],"
60,000원 56,400원
                            ",https://store.musinsa.com/app/goods/1008043
8,라퍼지스토어,시티보이 빅오버 옥스포드 반팔 셔츠_Sky Blue,"
45,000원 36,000원
                            ",https://store.musinsa.com/app/goods/1935180
9,파르티멘토,Hair Line Stripe Shirts Sky,"
39,000원 29,900원
                            ",https://store.musinsa.com/app/goods/533067
10,무신사 스탠다드,릴렉스 핏 실키 셔츠 [화이트],"
                                 23,900원
                            ",https://store.musinsa.com/app/goods/983818
11,스파오,오버핏 옥스포드 셔츠_SPYWC12C02,"
                                 29,900원
                            ",https://store.musinsa.com/app/goods/2272830
12,아노블리어,루즈핏 오픈카라 텐셀 린넨 셔츠 [오트밀],"
60,000원 56,400원
                            ",https://store.musinsa.com/app/goods/1008039
13,다이아몬드 레이라,클래식 화이트 셔츠 S40,"
59,000원 49,000원
                            ",https://store.musinsa.com/app/goods/1116117
14,무신사 스탠다드,릴렉스 핏 실키 셔츠 [블랙],"
                                 23,900원
                            ",https://store.musinsa.com/app/goods/983819
15,무신사 스탠다드,릴렉스 핏 실키 셔츠 [다크 네이비],"
                                 23,900원
                            ",https://store.musinsa.com/app/goods/983824
16,무신사 스탠다드,릴렉스 핏 실키 셔츠 [그레이쉬 블루],"
                                 23,900원
                            ",https://store.musinsa.com/app/goods/983822
17,필루미네이트,[리뉴얼] 옵티멀 베이직 린넨 셔츠-화이트,"
46,000원 34,500원
                            ",https://store.musinsa.com/app/goods/994588
18,다이아몬드 레이라,플러프 무드 체크 셔츠 S24 브라운,"
68,000원 51,000원
                            ",https://store.musinsa.com/app/goods/859949
19,무신사 스탠다드,[유아인 착용 상품] 릴렉스 핏 실키 셔츠 [카키],"
                                 23,900원
                            ",https://store.musinsa.com/app/goods/983823
20,퍼스텝,피그먼트 루즈핏 셔츠 베이지 SMLS4058,"
42,900원 40,700원
                            ",https://store.musinsa.com/app/goods/483796
21,아노블리어,루즈핏 오픈카라 텐셀 린넨 셔츠 [블랙],"
60,000원 56,400원
                            ",https://store.musinsa.com/app/goods/1067420
22,예일,STRIPE HANDSOME DAN SHIRT BLUE,"
69,000원 48,300원
                            ",https://store.musinsa.com/app/goods/1776344
23,다이아몬드 레이라,헤링본 클래식 체크 셔츠 S41,"
69,000원 51,000원
                            ",https://store.musinsa.com/app/goods/1116155
24,라퍼지스토어,시티보이 빅오버 옥스포드 반팔 셔츠_White,"
45,000원 36,000원
                            ",https://store.musinsa.com/app/goods/1935174
25,필루미네이트,[리뉴얼] 오버핏 글림 스트라이프 셔츠-네이비,"
46,000원 34,500원
                            ",https://store.musinsa.com/app/goods/1009551
26,커스텀어클락,옥스포드 베이직 셔츠 화이트,"
39,000원 35,100원
                            ",https://store.musinsa.com/app/goods/409641
27,후아유,스티브 보이핏 오버셔츠 WHYAC2225U,"
49,900원 44,910원
                            ",https://store.musinsa.com/app/goods/2024224
28,무신사 스탠다드,릴렉스 핏 옥스포드 셔츠 [블루],"
                                 24,900원
                            ",https://store.musinsa.com/app/goods/854339
29,테이크이지,[컬러추가]PIN STRIPE OVER SHIRT,"
67,000원 40,200원
                            ",https://store.musinsa.com/app/goods/592829
30,테이크이지,솔리드 옥스포드 오버셔츠(바이올렛),"
67,000원 40,200원
                            ",https://store.musinsa.com/app/goods/1336297
31,로맨틱크라운,Striped Cuffs Shirt_White,"
68,000원 47,600원
                            ",https://store.musinsa.com/app/goods/707695
32,제멋,하운드 투스 체크 반팔셔츠 카키 HSSS2207,"
                                 33,900원
                            ",https://store.musinsa.com/app/goods/1015136
33,아노블리어,루즈핏 오픈카라 린넨 셔츠 [화이트],"
60,000원 56,400원
                            ",https://store.musinsa.com/app/goods/1067413
34,다이아몬드 레이라,폴리 셔츠 S37-2  애쉬 그레이,"
65,000원 51,000원
                            ",https://store.musinsa.com/app/goods/1458793
35,유니온블루,LAUNDRY SHIRT (WHITE),"
62,000원 59,000원
                            ",https://store.musinsa.com/app/goods/2065703
36,다이아몬드 레이라,폴링 체크 셔츠 S43,"
68,000원 51,000원
                            ",https://store.musinsa.com/app/goods/1150239
37,필루미네이트,[리뉴얼]스테디 레잇 체크 셔츠-베이지,"
43,000원 21,500원
                            ",https://store.musinsa.com/app/goods/623548
38,기프트오리지널,(UNISEX) 클래시 체크 셔츠,"
49,000원 29,400원
                            ",https://store.musinsa.com/app/goods/875126
39,집시,오버사이즈 글렌체크 셔츠.,"
73,000원 49,900원
                            ",https://store.musinsa.com/app/goods/713749
40,아노블리어,세미오버핏 타탄 체크 셔츠 [엄버 블랙],"
60,000원 48,000원
                            ",https://store.musinsa.com/app/goods/1124609
41,아차,와이드 커프스 옷핀 셔츠 _ 화이트,"
64,000원 51,200원
                            ",https://store.musinsa.com/app/goods/853189
42,베리베인,TP95 PIN STRIPE SHIRTS (BLACK),"
                                 33,000원
                            ",https://store.musinsa.com/app/goods/837353
43,라퍼지스토어,시티보이 빅오버 옥스포드 셔츠_Royal Blue,"
47,000원 42,000원
                            ",https://store.musinsa.com/app/goods/2024232
44,무신사 스탠다드,릴렉스 핏 옥스포드 셔츠 [그레이],"
                                 24,900원
                            ",https://store.musinsa.com/app/goods/854338
45,드로우핏,오버사이즈 히든 미니멀 셔츠 [WHITE],"
59,000원 53,100원
                            ",https://store.musinsa.com/app/goods/1151850
46,토피,오버핏 옥스퍼드 셔츠 (BLUE),"
49,000원 36,500원
                            ",https://store.musinsa.com/app/goods/1841246
47,라퍼지스토어,시티보이 빅오버 워싱 데님 셔츠_Black,"
63,000원 49,000원
                            ",https://store.musinsa.com/app/goods/2037637
48,퍼스텝,피그먼트 루즈핏 셔츠 진회색 SMLS4058,"
42,900원 40,700원
                            ",https://store.musinsa.com/app/goods/483798
49,어반드레스,오버핏 울 체크 셔츠 그레이,"
48,000원 28,800원
                            ",https://store.musinsa.com/app/goods/1609651
50,쟈니웨스트,Ramie Half Shirts (Beige),"
31,000원 29,450원
                            ",https://store.musinsa.com/app/goods/580286
51,라퍼지스토어,시티보이 빅오버 옥스포드 셔츠_Neutral Gray,"
47,000원 42,000원
                            ",https://store.musinsa.com/app/goods/2024212
